evaluation_context,sequence_id,model,skill
WITHIN_EUROC,V1_01_easy,B1_LINEAR,-0.6049994802483398
WITHIN_EUROC,V1_02_medium,B1_LINEAR,-0.5677963292550954
WITHIN_EUROC,V1_03_difficult,B1_LINEAR,-0.5187767209962302
WITHIN_EUROC,V2_01_easy,B1_LINEAR,-1.1627524523311883
WITHIN_EUROC,V2_02_medium,B1_LINEAR,-0.6683297791107876
WITHIN_EUROC,V2_03_difficult,B1_LINEAR,-0.8580093250693253
WITHIN_EUROC,V1_01_easy,B2_RIDGE_QF,0.23858283071780595
WITHIN_EUROC,V1_02_medium,B2_RIDGE_QF,0.18609745093522356
WITHIN_EUROC,V1_03_difficult,B2_RIDGE_QF,0.18938897513989172
WITHIN_EUROC,V2_01_easy,B2_RIDGE_QF,0.1973284846023724
WITHIN_EUROC,V2_02_medium,B2_RIDGE_QF,0.20030844657095592
WITHIN_EUROC,V2_03_difficult,B2_RIDGE_QF,0.21164369141670247
WITHIN_EUROC,V1_01_easy,B3_RIDGE_QF_QW,0.24072443294439883
WITHIN_EUROC,V1_02_medium,B3_RIDGE_QF_QW,0.19615398803908124
WITHIN_EUROC,V1_03_difficult,B3_RIDGE_QF_QW,0.19773345483262073
WITHIN_EUROC,V2_01_easy,B3_RIDGE_QF_QW,0.2022583034684471
WITHIN_EUROC,V2_02_medium,B3_RIDGE_QF_QW,0.20061010953652048
WITHIN_EUROC,V2_03_difficult,B3_RIDGE_QF_QW,0.20952174385023525
WITHIN_UZH,indoor_forward_6_snapdragon,B1_LINEAR,-1.2324560515738292
WITHIN_UZH,indoor_forward_9_snapdragon,B1_LINEAR,-0.5707692742670327
WITHIN_UZH,indoor_forward_10_snapdragon,B1_LINEAR,-0.7326428240334191
WITHIN_UZH,indoor_45_2_snapdragon,B1_LINEAR,-1.3412338762101323
WITHIN_UZH,indoor_45_4_snapdragon,B1_LINEAR,-1.4296626233521876
WITHIN_UZH,indoor_45_13_snapdragon,B1_LINEAR,-1.1575120757504154
WITHIN_UZH,indoor_45_14_snapdragon,B1_LINEAR,-1.3302354471422473
WITHIN_UZH,outdoor_forward_1_snapdragon,B1_LINEAR,-0.9521016636107169
WITHIN_UZH,indoor_forward_6_snapdragon,B2_RIDGE_QF,0.12619082372478363
WITHIN_UZH,indoor_forward_9_snapdragon,B2_RIDGE_QF,-0.11376602843760364
WITHIN_UZH,indoor_forward_10_snapdragon,B2_RIDGE_QF,-0.03244377651221164
WITHIN_UZH,indoor_45_2_snapdragon,B2_RIDGE_QF,0.18989423278915074
WITHIN_UZH,indoor_45_4_snapdragon,B2_RIDGE_QF,0.21780636683883858
WITHIN_UZH,indoor_45_13_snapdragon,B2_RIDGE_QF,0.22224155502064669
WITHIN_UZH,indoor_45_14_snapdragon,B2_RIDGE_QF,0.07745248100227997
WITHIN_UZH,outdoor_forward_1_snapdragon,B2_RIDGE_QF,0.28454336808495195
WITHIN_UZH,indoor_forward_6_snapdragon,B3_RIDGE_QF_QW,0.14572335508646073
WITHIN_UZH,indoor_forward_9_snapdragon,B3_RIDGE_QF_QW,-0.008246449562676172
WITHIN_UZH,indoor_forward_10_snapdragon,B3_RIDGE_QF_QW,0.058559908837097496
WITHIN_UZH,indoor_45_2_snapdragon,B3_RIDGE_QF_QW,0.18157872205273984
WITHIN_UZH,indoor_45_4_snapdragon,B3_RIDGE_QF_QW,0.21895399241202573
WITHIN_UZH,indoor_45_13_snapdragon,B3_RIDGE_QF_QW,0.21613931565982403
WITHIN_UZH,indoor_45_14_snapdragon,B3_RIDGE_QF_QW,0.10135597217505321
WITHIN_UZH,outdoor_forward_1_snapdragon,B3_RIDGE_QF_QW,0.2959205346589542
EUROC_TO_UZH,indoor_forward_6_snapdragon,B1_LINEAR,-1.2324560515738292
